Day;Time;Mem init;Mem firefox;CPU init;CPU firefox;CPU multithread;CPU multithread/0;CPU multithread/1;CPU multithread/2;CPU multithread/3;CPU multithread/4;CPU multithread/5;CPU multithread/6;CPU multithread/7;CPU multithread/8;CPU multithread/9;CPU multithread/10;CPU multithread/11;CPU multithread/12;CPU multithread/13;CPU multithread/14;CPU multithread/15;CPU multithread/16;CPU multithread/17;CPU multithread/18;CPU multithread/19
2015-04-04;02:28:45;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:46;41828;1098136;0,0;6,7;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5
2015-04-04;02:28:47;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:49;41828;1098136;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:50;41828;1098136;0,0;0,0;0,0;0,0;6,4;6,4;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:51;41828;1098136;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:53;41828;1098136;0,0;0,0;0,0;0,0;6,4;0,0;6,4;0,0;6,4;0,0;0,0;0,0;6,4;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:28:54;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;12,9;0,0;0,0
2015-04-04;02:28:55;41828;1098136;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:57;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:58;41828;1098136;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;6,4;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0
2015-04-04;02:28:59;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,6;0,0;64,6;38,8;58,1;0,0;0,0;71,1;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:01;41828;1098136;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:02;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;6,4;6,4;0,0;0,0;0,0
2015-04-04;02:29:04;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;6,5;0,0;0,0;0,0;0,0;6,5;0,0;6,5
2015-04-04;02:29:05;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:06;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:08;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:09;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:10;41828;1098136;0,0;0,0;0,0;0,0;0,0;77,6;0,0;0,0;71,1;0,0;38,8;12,9;25,9;0,0;0,0;38,8;0,0;38,8;64,6;0,0;0,0;0,0;0,0
2015-04-04;02:29:12;41828;1098136;0,0;0,0;0,0;0,0;6,5;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;6,5;0,0;0,0;0,0
2015-04-04;02:29:13;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:14;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:16;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:17;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;6,5;0,0;0,0;0,0;0,0
2015-04-04;02:29:18;41828;1098136;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0
2015-04-04;02:29:20;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0
2015-04-04;02:29:21;41828;1098136;0,0;0,0;0,0;0,0;90,4;0,0;12,9;6,5;0,0;0,0;0,0;0,0;0,0;0,0;6,5;25,8;0,0;19,4;0,0;0,0;0,0;90,4;77,5
2015-04-04;02:29:23;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;6,5;0,0;12,9;0,0;0,0;0,0
2015-04-04;02:29:24;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:25;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:27;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:28;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:29;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:29:31;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:32;41828;1098136;0,0;0,0;0,0;64,3;0,0;0,0;57,8;64,3;0,0;0,0;0,0;0,0;0,0;0,0;25,7;0,0;0,0;0,0;0,0;25,7;19,3;0,0;0,0
2015-04-04;02:29:33;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0
2015-04-04;02:29:35;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5
2015-04-04;02:29:36;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:38;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:39;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:40;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;6,5;0,0;0,0;0,0;6,5
2015-04-04;02:29:42;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;6,4;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:43;41828;1098136;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;6,4;45,0;0,0;0,0;0,0;0,0;45,0;38,6;0,0;0,0
2015-04-04;02:29:44;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:29:46;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:47;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:29:48;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5
2015-04-04;02:29:50;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:51;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:53;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:54;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:55;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:29:57;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0
2015-04-04;02:29:58;41828;1098136;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0
2015-04-04;02:29:59;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0
